Attitude.ordinal,Attitude.onset,Attitude.offset,Attitude.F,Attitude.C,Attitude.Q,Attitude.FR,Engagement.ordinal,Engagement.onset,Engagement.offset,Engagement.R,Engagement.TM,Engagement.S,Engagement.TE,
0,105180,159467,1,,,,0,38233,47222,1,,,,
1,127592,0,,,1,,1,48398,0,,1,,,
2,133290,0,,,1,,2,51386,52822,,,1,,
3,139287,0,,,1,,3,55979,57120,,,1,,
4,139787,0,,,,1,4,57060,0,,1,,,
5,142649,162832,,1,,,5,58142,61276,,,,1,
,,,,,,,6,63272,64640,,,1,,
,,,,,,,7,66765,68550,,,,1,
,,,,,,,8,68065,70869,,,1,,
,,,,,,,9,83385,86107,,,1,,
,,,,,,,10,87009,0,,1,,,
,,,,,,,11,88971,91135,,,1,,
,,,,,,,12,91961,93997,,,1,,
,,,,,,,13,103207,110727,1,,,,
,,,,,,,14,130815,133054,,,1,,
,,,,,,,15,137461,138812,,,1,,
,,,,,,,16,141502,162919,,,1,,